食材番号,食材名,エネルギー,タンパク質,脂質,炭水化物,食塩相当量
01001,アマランサス　玄穀,343.0,12.7,6.0,64.9,0
01002,あわ　精白粒,346.0,11.2,4.4,69.7,0
01003,あわ　あわもち,210.0,5.1,1.3,45.3,0
01004,えんばく　オートミール,350.0,13.7,5.7,69.1,0
01005,おおむぎ　七分つき押麦,343.0,10.9,2.1,72.1,0
01006,おおむぎ　押麦　乾,329.0,6.7,1.5,78.3,0
01170,おおむぎ　押麦　めし,118.0,2.2,0.5,28.5,0
01007,おおむぎ　米粒麦,333.0,7.0,2.1,76.2,0
01008,おおむぎ　大麦めん　乾,343.0,12.9,1.7,68.0,2.8
01009,おおむぎ　大麦めん　ゆで,121.0,4.8,0.6,24.3,0.2
01010,おおむぎ　麦こがし,368.0,12.5,5.0,77.1,0
01167,キヌア　玄穀,344.0,13.4,3.2,69.0,0.1
01011,きび　精白粒,353.0,11.3,3.3,70.9,0
01012,こむぎ　［玄穀］　国産　普通,329.0,10.8,3.1,72.1,0
01013,こむぎ　［玄穀］　輸入　軟質,344.0,10.1,3.3,75.2,0
01014,こむぎ　［玄穀］　輸入　硬質,332.0,13.0,3.0,69.4,0
01015,こむぎ　［小麦粉］　薄力粉　1等,349.0,8.3,1.5,75.8,0
01016,こむぎ　［小麦粉］　薄力粉　2等,345.0,9.3,1.9,74.3,0
01018,こむぎ　［小麦粉］　中力粉　1等,337.0,9.0,1.6,75.1,0
01019,こむぎ　［小麦粉］　中力粉　2等,346.0,9.7,1.8,74.0,0
01020,こむぎ　［小麦粉］　強力粉　1等,337.0,11.8,1.5,71.7,0
01021,こむぎ　［小麦粉］　強力粉　2等,343.0,12.6,1.7,70.6,0
01023,こむぎ　［小麦粉］　強力粉　全粒粉,320.0,12.8,2.9,68.2,0
01146,こむぎ　［小麦粉］　プレミックス粉　お好み焼き用,335.0,10.1,1.9,73.6,3.7
01024,こむぎ　［小麦粉］　プレミックス粉　ホットケーキ用,360.0,7.8,4.0,74.4,1.0
01147,こむぎ　［小麦粉］　プレミックス粉　から揚げ用,311.0,10.2,1.2,70.0,9.7
01025,こむぎ　［小麦粉］　プレミックス粉　天ぷら用,337.0,8.8,1.3,76.1,0.5
01171,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター,132.0,3.3,0.5,30.2,0.2
01172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ,588.0,4.3,47.7,37.0,0.2
01026,こむぎ　［パン類］　角形食パン　食パン,248.0,8.9,4.1,46.4,1.2
01174,こむぎ　［パン類］　角形食パン　焼き,269.0,9.7,4.5,50.6,1.3
01175,こむぎ　［パン類］　角形食パン　耳を除いたもの,226.0,8.2,3.7,42.6,1.1
01176,こむぎ　［パン類］　角形食パン　耳,273.0,9.7,4.5,50.8,1.3
01206,こむぎ　［パン類］　食パン　リーンタイプ,246.0,8.0,3.7,47.5,1.3
01207,こむぎ　［パン類］　食パン　リッチタイプ,256.0,7.8,6.0,45.6,1.0
01205,こむぎ　［パン類］　山形食パン　食パン,246.0,7.8,3.5,47.9,1.3
01028,こむぎ　［パン類］　コッペパン,259.0,8.5,3.8,49.1,1.3
01030,こむぎ　［パン類］　乾パン,386.0,9.5,4.4,78.8,1.2
01031,こむぎ　［パン類］　フランスパン,289.0,9.4,1.3,57.5,1.6
01032,こむぎ　［パン類］　ライ麦パン,252.0,8.4,2.2,52.7,1.2
01208,こむぎ　［パン類］　全粒粉パン,251.0,7.9,5.7,45.5,1.0
01033,こむぎ　［パン類］　ぶどうパン,263.0,8.2,3.5,51.1,1.0
01034,こむぎ　［パン類］　ロールパン,309.0,10.1,9.0,48.6,1.2
01209,こむぎ　［パン類］　クロワッサン　レギュラータイプ,406.0,6.5,20.4,51.5,1.4
01035,こむぎ　［パン類］　クロワッサン　リッチタイプ,438.0,7.9,26.8,43.9,1.2
01210,こむぎ　［パン類］　くるみパン,292.0,8.2,12.6,38.7,0.8
01036,こむぎ　［パン類］　イングリッシュマフィン,224.0,8.1,3.6,40.8,1.2
01037,こむぎ　［パン類］　ナン,257.0,10.3,3.4,47.6,1.3
01148,こむぎ　［パン類］　ベーグル,270.0,9.6,2.0,54.6,1.2
01038,こむぎ　［うどん・そうめん類］　うどん　生,249.0,6.1,0.6,56.8,2.5
01039,こむぎ　［うどん・そうめん類］　うどん　ゆで,95.0,2.6,0.4,21.6,0.3
01186,こむぎ　［うどん・そうめん類］　うどん　半生うどん,296.0,7.8,3.4,62.5,3.0
01041,こむぎ　［うどん・そうめん類］　干しうどん　乾,333.0,8.5,1.1,71.9,4.3
01042,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,117.0,3.1,0.5,25.8,0.5
01043,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,333.0,9.5,1.1,72.7,3.8
01044,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,114.0,3.5,0.4,25.8,0.2
01045,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,312.0,9.3,1.5,68.9,5.8
01046,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,119.0,3.5,0.6,25.5,0.3
01047,こむぎ　［中華めん類］　中華めん　生,249.0,8.6,1.2,55.7,1.0
01048,こむぎ　［中華めん類］　中華めん　ゆで,133.0,4.9,0.6,29.2,0.2
01187,こむぎ　［中華めん類］　半生中華めん　,305.0,9.9,4.0,61.2,1.2
01049,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,162.0,4.9,1.7,35.6,0.3
01188,こむぎ　［中華めん類］　蒸し中華めん  ソテー,211.0,5.2,4.9,38.9,0.3
01050,こむぎ　［中華めん類］　干し中華めん　乾,337.0,11.7,1.6,70.2,1.0
01051,こむぎ　［中華めん類］　干し中華めん　ゆで,131.0,4.9,0.5,27.5,0.2
01052,こむぎ　［中華めん類］　沖縄そば　生,266.0,9.2,2.0,54.2,2.1
01053,こむぎ　［中華めん類］　沖縄そば　ゆで,132.0,5.2,0.8,28.0,0.4
01054,こむぎ　［中華めん類］　干し沖縄そば　乾,317.0,12.0,1.7,67.8,4.3
01055,こむぎ　［中華めん類］　干し沖縄そば　ゆで,132.0,5.2,0.6,28.6,0.5
01056,こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,424.0,10.1,16.7,63.5,6.4
01057,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,439.0,10.1,19.1,61.4,5.6
01198,こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,100.0,2.3,4.4,13.4,1.1
01189,こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,189.0,3.9,7.7,27.9,0.4
01144,こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,453.0,8.9,19.6,65.5,1.5
01058,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,336.0,10.3,5.2,67.1,6.9
01199,こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,93.0,3.0,0.8,18.7,1.1
01190,こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,139.0,3.4,0.8,31.0,0.6
01145,こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,334.0,8.5,1.9,75.2,3.0
01193,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,422.0,10.9,18.5,58.6,5.8
01201,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,92.0,2.5,4.2,13.2,1.3
01194,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,175.0,3.8,7.7,25.2,1.1
01191,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,417.0,10.0,19.1,54.6,6.3
01200,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,90.0,2.3,4.5,12.9,1.5
01192,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,142.0,3.0,5.8,20.7,1.1
01060,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,418.0,8.2,18.6,57.5,3.8
01202,こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,222.0,5.0,11.3,34.2,2.3
01061,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,314.0,9.2,5.8,62.6,7.1
01203,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,66.0,2.5,2.1,10.2,1.4
01195,こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,121.0,3.4,1.3,25.3,1.0
01062,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,437.0,10.9,19.8,56.1,6.7
01204,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,91.0,2.2,4.7,11.2,1.4
01196,こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,163.0,2.7,7.2,24.4,1.1
01063,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,347.0,12.9,1.8,73.1,0
01064,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,150.0,5.8,0.9,32.2,1.2
01173,こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,186.0,5.5,5.8,30.5,1.1
01149,こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,232.0,7.8,1.9,46.9,1.2
01065,こむぎ　［ふ類］　生ふ,161.0,12.7,0.8,26.2,0
01066,こむぎ　［ふ類］　焼きふ　釜焼きふ,357.0,28.5,2.7,56.9,0
01067,こむぎ　［ふ類］　焼きふ　板ふ,351.0,25.6,3.3,57.3,0.5
01068,こむぎ　［ふ類］　焼きふ　車ふ,361.0,30.2,3.4,54.2,0.3
01177,こむぎ　［ふ類］　油ふ,547.0,22.7,35.3,34.4,0.1
01070,こむぎ　［その他］　小麦はいが,391.0,32.0,11.6,48.3,0
01071,こむぎ　［その他］　小麦たんぱく　粉末状,398.0,72.0,9.7,10.6,0.2
01072,こむぎ　［その他］　小麦たんぱく　粒状,101.0,20.0,2.0,1.8,0.1
01073,こむぎ　［その他］　小麦たんぱく　ペースト状,145.0,25.0,4.1,3.9,0.6
01178,こむぎ　［その他］　かやきせんべい,359.0,10.6,1.9,75.1,2.5
01074,こむぎ　［その他］　ぎょうざの皮　生,275.0,9.3,1.4,57.0,0
01075,こむぎ　［その他］　しゅうまいの皮　生,275.0,8.3,1.4,58.9,0
01179,こむぎ　［その他］　春巻きの皮　生,288.0,8.3,1.6,62.2,1.1
01180,こむぎ　［その他］　春巻きの皮　揚げ,512.0,7.2,30.7,53.7,0.9
01076,こむぎ　［その他］　ピザ生地,265.0,9.1,3.0,51.1,1.3
01069,こむぎ　［その他］　ちくわぶ,160.0,7.1,1.2,31.1,0
01077,こむぎ　［その他］　パン粉　生,277.0,11.0,5.1,47.6,0.9
01078,こむぎ　［その他］　パン粉　半生,315.0,12.5,5.8,54.3,1.0
01079,こむぎ　［その他］　パン粉　乾燥,369.0,14.6,6.8,63.4,1.2
01150,こむぎ　［その他］　冷めん　生,249.0,3.9,0.7,57.6,1.3
01080,こめ　［水稲穀粒］　玄米,346.0,6.8,2.7,74.3,0
01081,こめ　［水稲穀粒］　半つき米,345.0,6.5,1.8,75.9,0
01082,こめ　［水稲穀粒］　七分つき米,348.0,6.3,1.5,76.6,0
01083,こめ　［水稲穀粒］　精白米　うるち米,342.0,6.1,0.9,77.6,0
01151,こめ　［水稲穀粒］　精白米　もち米,343.0,6.4,1.2,77.2,0
01152,こめ　［水稲穀粒］　精白米　インディカ米,347.0,7.4,0.9,77.7,0
01084,こめ　［水稲穀粒］　はいが精米,343.0,6.5,2.0,75.8,0
01153,こめ　［水稲穀粒］　発芽玄米,339.0,6.5,3.3,74.3,0
01181,こめ　［水稲穀粒］　赤米,344.0,8.5,3.3,71.9,0
01182,こめ　［水稲穀粒］　黒米,341.0,7.8,3.2,72.0,0
01085,こめ　［水稲めし］　玄米,152.0,2.8,1.0,35.6,0
01086,こめ　［水稲めし］　半つき米,154.0,2.7,0.6,36.4,0
01087,こめ　［水稲めし］　七分つき米,160.0,2.6,0.5,36.7,0
01168,こめ　［水稲めし］　精白米　インディカ米,184.0,3.8,0.4,41.5,0
01088,こめ　［水稲めし］　精白米　うるち米,156.0,2.5,0.3,37.1,0
01154,こめ　［水稲めし］　精白米　もち米,188.0,3.5,0.5,43.9,0
01089,こめ　［水稲めし］　はいが精米,159.0,2.7,0.6,36.4,0
01155,こめ　［水稲めし］　発芽玄米,161.0,3.0,1.4,35.0,0
01183,こめ　［水稲めし］　赤米,150.0,3.8,1.3,32.7,0
01184,こめ　［水稲めし］　黒米,150.0,3.6,1.4,32.2,0
01185,こめ　［水稲軟めし］　精白米,113.0,1.8,0.3,26.4,0
01090,こめ　［水稲全かゆ］　玄米,64.0,1.2,0.4,15.2,0
01091,こめ　［水稲全かゆ］　半つき米,65.0,1.1,0.3,15.5,0
01092,こめ　［水稲全かゆ］　七分つき米,68.0,1.1,0.2,15.6,0
01093,こめ　［水稲全かゆ］　精白米,65.0,1.1,0.1,15.7,0
01094,こめ　［水稲五分かゆ］　玄米,32.0,0.6,0.2,7.6,0
01095,こめ　［水稲五分かゆ］　半つき米,32.0,0.6,0.1,7.7,0
01096,こめ　［水稲五分かゆ］　七分つき米,32.0,0.6,0.1,7.7,0
01097,こめ　［水稲五分かゆ］　精白米,33.0,0.5,0.1,7.9,0
01098,こめ　［水稲おもゆ］　玄米,19.0,0.4,0.1,4.4,0
01099,こめ　［水稲おもゆ］　半つき米,19.0,0.3,0.1,4.6,0
01100,こめ　［水稲おもゆ］　七分つき米,20.0,0.3,0.1,4.6,0
01101,こめ　［水稲おもゆ］　精白米,19.0,0.3,0,4.7,0
01102,こめ　［陸稲穀粒］　玄米,357.0,10.1,2.7,71.1,0
01103,こめ　［陸稲穀粒］　半つき米,356.0,9.6,1.8,72.9,0
01104,こめ　［陸稲穀粒］　七分つき米,359.0,9.5,1.5,73.4,0
01105,こめ　［陸稲穀粒］　精白米,331.0,9.3,0.9,74.5,0
01106,こめ　［陸稲めし］　玄米,156.0,4.1,1.0,34.3,0
01107,こめ　［陸稲めし］　半つき米,157.0,3.8,0.6,35.3,0
01108,こめ　［陸稲めし］　七分つき米,155.0,3.6,0.5,35.7,0
01109,こめ　［陸稲めし］　精白米,157.0,3.5,0.3,36.1,0
01110,こめ　［うるち米製品］　アルファ化米　一般用,358.0,6.0,1.0,84.8,0
01156,こめ　［うるち米製品］　アルファ化米　学校給食用強化品,358.0,6.0,1.0,84.8,0
01111,こめ　［うるち米製品］　おにぎり,170.0,2.7,0.3,39.4,0.5
01112,こめ　［うるち米製品］　焼きおにぎり,166.0,3.1,0.3,39.5,1.0
01113,こめ　［うるち米製品］　きりたんぽ,200.0,3.2,0.4,46.2,0
01114,こめ　［うるち米製品］　上新粉,343.0,6.2,0.9,78.5,0
01157,こめ　［うるち米製品］　玄米粉,370.0,7.1,2.9,84.1,0
01158,こめ　［うるち米製品］　米粉,356.0,6.0,0.7,81.9,0
01211,こめ　［うるち米製品］　米粉パン　食パン,247.0,10.7,5.1,41.6,1.1
01212,こめ　［うるち米製品］　米粉パン　ロールパン,256.0,8.8,6.7,42.0,0.9
01159,こめ　［うるち米製品］　米粉パン　小麦グルテン不使用のもの,247.0,3.4,3.1,51.3,0.9
01160,こめ　［うるち米製品］　米粉めん,252.0,3.6,0.7,58.4,0.1
01115,こめ　［うるち米製品］　ビーフン,360.0,7.0,1.6,79.9,0
01169,こめ　［うるち米製品］　ライスペーパー,339.0,0.5,0.3,84.3,1.7
01116,こめ　［うるち米製品］　米こうじ,260.0,5.8,1.7,59.2,0
01117,こめ　［もち米製品］　もち,223.0,4.0,0.6,50.8,0
01118,こめ　［もち米製品］　赤飯,186.0,4.3,0.6,41.9,0
01119,こめ　［もち米製品］　あくまき,131.0,2.3,1.8,25.7,0
01120,こめ　［もち米製品］　白玉粉,347.0,6.3,1.0,80.0,0
